question,text,n_choices,w_total,best_sigma,best_sigma_cont,ll_deployed8,ll_s2,ll_s3,ll_s4,ll_s5,ll_s6,ll_s8,ll_s10,ll_s12,ll_s16,ll_s20,ll_s24,ll_s32,tv_dom,moran_dom,acl_dom,tv_wt,moran_wt,acl_wt
102,What do you call the insect that looks like a large thin spider and skitters along the top of water?,11,23551.62402,32.00000,32.00000,2.22937,2.60729,2.51649,2.42922,2.35820,2.30200,2.22937,2.19564,2.17997,2.16768,2.16146,2.15759,2.15298,0.14472,0.98795,27.00000,0.17977,0.97430,16.47111
103,What do you call the thing from which you might drink water in a school?,5,13732.29834,16.00000,17.52135,1.00952,1.19279,1.15175,1.10997,1.07519,1.04764,1.00952,0.98679,0.97308,0.96401,0.96524,0.96566,0.96785,0.13151,0.98999,36.00000,0.15620,0.98608,27.99653
104,What do you call a public railway system (normally underground)?,6,14152.15723,20.00000,21.34641,1.42431,1.76020,1.69274,1.61351,1.54651,1.49334,1.42431,1.38868,1.37088,1.36115,1.35949,1.35982,1.36053,0.13076,0.99212,40.00000,0.17007,0.97937,28.41752
105,What is your generic term for a sweetened carbonated beverage?,10,17540.68457,32.00000,32.00000,1.80081,2.12536,2.02872,1.95185,1.89292,1.85038,1.80081,1.77754,1.76676,1.75421,1.75230,1.75164,1.74794,0.15301,0.98699,21.00000,0.17207,0.98420,24.26319
106,What do you call the act of covering a house or area in front of a house with toilet paper?,8,17130.52832,32.00000,32.00000,1.72834,2.03325,1.95040,1.88298,1.82985,1.78497,1.72834,1.69886,1.68335,1.67144,1.66609,1.66212,1.65716,0.14450,0.98864,26.00000,0.17067,0.98183,22.77016
107,What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,10,20010.84277,24.00000,27.30829,2.04173,2.39798,2.32353,2.24281,2.17489,2.11563,2.04173,2.00548,1.98628,1.97287,1.96890,1.96781,1.96810,0.14148,0.98791,26.00000,0.18051,0.97724,18.88707
108,What vowel do you use in bag?,4,12421.39062,32.00000,32.00000,0.98743,1.18794,1.14231,1.09989,1.06429,1.03126,0.98743,0.96561,0.95616,0.94937,0.94597,0.94374,0.94160,0.13116,0.99127,40.00000,0.15386,0.98447,32.22647
109,What do you call the paper container in which you might bring home items you bought at the store?,4,12472.39258,20.00000,20.65962,0.94338,1.22089,1.15261,1.08717,1.03381,0.99335,0.94338,0.92059,0.91166,0.90678,0.90635,0.90657,0.90692,0.13088,0.99097,40.00000,0.15540,0.99033,33.71769
110,What do you call the night before Halloween?,9,15053.51709,32.00000,32.00000,1.58302,1.93115,1.86799,1.79905,1.73417,1.67427,1.58302,1.53109,1.50630,1.48649,1.47917,1.47542,1.47273,0.12904,0.98985,40.00000,0.16661,0.98290,28.58854
111,What do you call the end of a loaf of bread?,8,18314.03613,32.00000,32.00000,1.73693,2.06836,2.00217,1.93175,1.86833,1.81255,1.73693,1.69874,1.68083,1.65873,1.65080,1.64744,1.64450,0.14017,0.98759,29.00000,0.17156,0.97798,21.68512
112,How do you pronounce the word for the type of drug that acts as central nervous system depressant and is used as a sedative or hypnotic? (Please do not look up the word in a dictionary before answering this question.),4,14331.80811,32.00000,32.00000,1.24249,1.53203,1.47736,1.41272,1.35331,1.30403,1.24249,1.21343,1.20058,1.19032,1.18611,1.18342,1.18045,0.13392,0.99073,40.00000,0.16366,0.98186,28.15551
113,amphitheater,3,14399.62598,32.00000,32.00000,0.94609,1.08732,1.05012,1.01577,0.99039,0.97146,0.94609,0.93152,0.92406,0.91813,0.91608,0.91520,0.91468,0.13876,0.98795,33.00000,0.15193,0.98476,26.05596
114,citizen,3,13879.78906,32.00000,32.00000,0.91889,1.10837,1.06851,1.02564,0.98799,0.95758,0.91889,0.90041,0.89164,0.88525,0.88437,0.88372,0.88231,0.13603,0.98934,30.00000,0.15040,0.98547,24.36622
115,"What do you call a point that is purely academic, or that cannot be settled and isn't worth discussing further?",5,13423.91699,32.00000,32.00000,1.33438,1.65241,1.58869,1.52154,1.46199,1.40990,1.33438,1.29458,1.27411,1.25498,1.24656,1.24269,1.24049,0.13037,0.99182,40.00000,0.16680,0.98255,29.26345
116,"How do you pronounce the -sp- sequence in ""thespian"" (the word meaning ""actor"")?",3,13425.26221,32.00000,32.00000,0.93409,1.08853,1.05268,1.01566,0.98629,0.96422,0.93409,0.91616,0.90703,0.89970,0.89643,0.89422,0.89236,0.13330,0.99044,35.00000,0.15180,0.98472,28.09067
117,What do you call the level of a building that is partly or entirely underground?,6,18006.84131,32.00000,32.00000,1.61790,1.92567,1.85316,1.77944,1.72238,1.67591,1.61790,1.58724,1.57131,1.55633,1.54932,1.54576,1.54292,0.14238,0.98666,29.00000,0.16887,0.97942,21.94812
118,What do you call a drive-through liquor store?,8,18505.83691,32.00000,32.00000,1.71571,2.03607,1.95919,1.88565,1.82932,1.78294,1.71571,1.67804,1.65760,1.63914,1.63248,1.62940,1.62603,0.15026,0.98709,40.00000,0.17062,0.98202,24.27174
119,What do you call food that you buy at a restaurant but then eat at home?,4,15611.30615,32.00000,32.00000,1.31096,1.54860,1.48963,1.43292,1.38686,1.35253,1.31096,1.28989,1.27992,1.27231,1.26992,1.26909,1.26832,0.14070,0.98863,24.00000,0.16223,0.98532,24.96091
120,What do you say when you want to lay claim to the front seat of a car?,6,15406.23682,24.00000,23.74744,1.29701,1.56784,1.49868,1.43252,1.38105,1.34284,1.29701,1.27456,1.26339,1.25438,1.25187,1.25162,1.25284,0.13640,0.98909,40.00000,0.16405,0.98009,28.32566
121,What word do you use for gawking at someone in a lustful way?,7,21340.02148,32.00000,32.00000,1.90727,2.30895,2.21263,2.11469,2.03330,1.97242,1.90727,1.88028,1.86926,1.86209,1.85962,1.85810,1.85646,0.14991,0.98741,21.00000,0.18334,0.97536,15.85311
122,"Do you say ""expecially"", or ""especially""?",5,11558.08691,32.00000,32.00000,0.94469,1.18345,1.14052,1.08763,1.04001,0.99850,0.94469,0.92087,0.90855,0.89994,0.89724,0.89613,0.89609,0.12833,0.99226,40.00000,0.15718,0.98786,33.03150
